venue_id,user_id
88455,1758727
235785,1758727
170021,1758727
54792,1758727
996311,1758727
54522,1758727
562,1365850
971108,1365850
2297,1365850
182338,1378197
62118,1378197
54360,1378197
54407,1378197
108950,1378197
183555,1378197
610740,1378197
844289,1378197
1081318,1378197
4361,1378197
4432,1378197
152161,1378197
146036,1620974
285671,1620974
77014,1620974
60,1791793
11492,1791793
78534,1791793
585461,1791793
2964,1791793
4700,1791793
505485,1791793
694511,1791793
7620,1791793
11138,1791793
7284,1791793
166419,1337364
60,1339981
277755,1339981
108952,1339981
10935,1339981
17055,1339981
1006831,1339981
861034,1339981
861035,1339981
861057,1339981
6350,1339981
229634,1339981
15682,1339981
532433,1339981
112006,1339981
